aX,aY,aZ,gX,gY,gZ
-0.417,0.282,-0.861,22.522,3.906,8.057
-0.437,0.272,-0.858,25.330,2.808,9.338
-0.457,0.249,-0.884,26.306,4.456,7.385
-0.481,0.218,-0.905,28.198,7.568,2.380
-0.483,0.188,-0.911,31.189,12.085,-4.578
-0.476,0.175,-0.894,33.691,16.846,-12.024
-0.457,0.177,-0.866,34.424,21.118,-17.395
-0.451,0.193,-0.867,33.203,23.071,-18.677
-0.443,0.204,-0.897,32.654,22.583,-17.029
-0.435,0.230,-0.912,35.767,20.325,-14.648
-0.394,0.262,-0.889,41.687,16.968,-11.780
-0.374,0.258,-0.875,46.814,15.686,-11.963
-0.409,0.282,-0.872,48.218,17.639,-13.306
-0.459,0.337,-0.850,49.744,21.729,-14.832
-0.484,0.437,-0.744,53.650,24.292,-19.043
-0.473,0.505,-0.632,55.603,26.550,-22.766
-0.460,0.551,-0.571,49.988,29.236,-21.912
-0.464,0.568,-0.603,38.818,29.724,-15.991
-0.456,0.566,-0.690,31.555,25.940,-8.850
-0.444,0.539,-0.741,31.128,19.043,-2.197
-0.448,0.486,-0.759,35.034,11.902,3.174
-0.462,0.444,-0.780,37.659,6.836,5.981
-0.759,0.620,1.339,1.953,42.480,-34.973
-0.805,0.699,1.489,-8.362,45.044,-39.368
-0.840,0.782,1.694,-19.653,44.373,-42.603
-0.841,0.851,1.860,-35.583,41.809,-46.448
-0.845,0.936,1.958,-59.875,42.480,-49.561
-0.855,1.021,2.097,-82.336,43.579,-51.819
-0.874,1.043,2.281,-98.938,40.222,-54.382
-0.886,1.076,2.487,-115.784,30.945,-58.228
-0.869,1.175,2.734,-137.085,18.616,-62.866
-0.791,1.257,3.003,-165.527,13.428,-68.726
-0.686,1.225,3.190,-202.087,19.958,-73.120
-0.535,1.149,3.229,-246.704,22.339,-70.923
-0.381,1.099,3.145,-292.786,11.292,-59.692
-0.263,0.951,2.951,-328.735,-6.714,-41.565
-0.152,0.763,2.661,-354.919,-28.809,-21.790
-0.069,0.571,2.341,-375.732,-49.377,-3.235
-0.058,0.465,2.106,-387.878,-66.345,13.428
-0.031,0.332,1.937,-389.526,-79.102,22.583
0.065,0.158,1.688,-393.738,-90.210,27.161
0.152,-0.025,1.353,-407.227,-103.821,34.668
