aX,aY,aZ,gX,gY,gZ
0.093,-0.938,0.624,-21.667,2.319,29.541
0.121,-0.938,0.622,-21.790,4.822,34.180
0.158,-0.938,0.620,-23.132,6.042,37.354
0.188,-0.923,0.608,-27.588,4.700,38.879
0.148,-0.863,0.602,-34.790,-1.038,41.138
0.086,-0.815,0.589,-39.246,-6.592,44.434
0.044,-0.788,0.588,-38.330,-7.202,46.875
0.030,-0.762,0.600,-34.119,-3.174,47.791
0.040,-0.733,0.615,-30.579,1.526,47.546
0.057,-0.711,0.616,-28.992,4.761,46.631
0.091,-0.687,0.608,-26.794,7.019,44.373
0.118,-0.689,0.589,-26.123,7.324,40.222
0.109,-0.702,0.591,-25.452,3.723,36.682
0.116,-0.755,0.617,-22.949,0.183,33.142
0.111,-0.802,0.662,-21.790,-2.014,31.616
0.097,-0.825,0.699,-23.621,-2.869,33.203
0.109,-0.809,0.715,-26.672,-0.305,36.194
0.126,-0.784,0.689,-31.006,4.028,38.818
0.139,-0.752,0.659,-33.997,5.981,39.001
0.140,-0.726,0.646,-33.752,5.188,37.476
0.134,-0.717,0.649,-31.372,3.479,35.706
0.135,-0.732,0.654,-27.710,3.296,34.058
0.137,-0.744,0.680,-24.597,4.456,32.654
0.158,-0.777,0.701,-22.095,7.446,31.006
0.207,-0.822,0.708,-23.499,9.399,30.334
0.258,-0.838,0.707,-28.198,6.775,32.532
0.229,-0.819,0.716,-36.499,0.122,37.109
0.185,-0.778,0.724,-43.823,-6.165,41.504
0.178,-0.716,0.729,-47.607,-6.470,42.480
0.169,-0.679,0.715,-48.523,-3.662,41.687
0.162,-0.655,0.711,-46.265,-1.221,40.527
0.180,-0.662,0.705,-42.908,0.793,38.696
0.185,-0.684,0.695,-40.588,1.770,36.499
0.193,-0.682,0.705,-38.574,2.136,33.386
0.227,-0.689,0.708,-36.926,3.357,29.297
0.290,-0.711,0.713,-37.109,4.089,28.076
0.298,-0.689,0.736,-38.330,1.404,32.227
0.254,-0.661,0.754,-40.955,-3.235,40.466
0.193,-0.642,0.752,-42.542,-5.249,48.828
-0.233,2.042,1.219,77.759,32.776,6.287
-0.377,2.404,1.321,84.778,34.302,2.258
-0.599,2.738,1.322,92.896,35.400,-8.484
-0.874,3.122,1.229,106.262,35.767,-20.386
-1.199,3.585,1.114,129.395,41.931,-32.959
-1.540,3.983,0.955,165.588,57.129,-50.659
-1.790,3.999,0.642,208.191,76.050,-88.562
-1.933,3.552,0.238,254.456,88.318,-166.138
-1.817,2.611,-0.228,306.335,84.412,-272.705
-1.443,1.197,-0.770,347.046,65.674,-379.517
-0.731,-0.441,-1.170,370.728,28.076,-449.219
-0.175,-1.339,-1.175,383.545,-24.414,-447.021
-0.323,-1.461,-1.264,370.239,-69.336,-379.211
-0.683,-1.797,-1.777,335.388,-84.290,-288.391
-1.144,-2.169,-2.376,322.632,-72.144,-219.238
-1.531,-2.677,-2.752,348.755,-58.105,-217.529
-1.602,-3.457,-2.643,390.137,-53.101,-280.640
-1.546,-4.000,-2.011,418.030,-60.547,-366.089
-1.367,-4.000,-1.062,417.236,-77.454,-422.058
-1.063,-4.000,-0.067,387.756,-73.730,-418.640
-0.487,-4.000,0.681,339.355,-19.958,-351.685
0.403,-4.000,0.956,273.132,81.848,-230.286
1.340,-3.280,0.414,183.167,192.383,-98.022
1.969,-2.218,-0.418,83.923,237.915,4.333
2.013,-1.386,-0.924,7.019,191.589,49.011
1.385,-1.064,-0.899,-35.034,81.970,40.405
0.539,-1.089,-0.403,-32.654,-21.606,12.207
-0.266,-1.118,0.175,-15.381,-67.810,-9.033
-0.788,-1.135,0.550,-5.127,-63.843,-13.123
-0.872,-1.032,0.640,1.831,-29.785,-3.601
-0.674,-0.867,0.505,-2.136,7.812,6.104
-0.379,-0.702,0.321,-11.108,26.245,7.629
